route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
A,FR,111119978,Union Station,1,   A  4,998010
A,FR,111119979,Union Station,1,   A  3,998010
A,FR,111119980,Union Station,1,   A  2,998010
A,FR,111119981,Union Station,1,   A  1,998010
A,FR,111119982,Union Station,1,   A  4,998010
A,FR,111119983,Union Station,1,   A  3,998010
A,FR,111119984,Union Station,1,   A  2,998010
A,FR,111119985,Union Station,1,   A  1,998010
A,FR,111119986,Union Station,1,   A  4,998010
A,FR,111119987,Union Station,1,   A  7,998010
A,FR,111119988,Union Station,1,   A  6,998010
A,FR,111119989,Union Station,1,   A  5,998010
A,FR,111119990,Union Station,1,   A  3,998010
A,FR,111119991,Union Station,1,   A  2,998010
A,FR,111119992,Union Station,1,   A  1,998010
A,FR,111119993,Union Station,1,   A  4,998010
A,FR,111119994,Union Station,1,   A  7,998010
A,FR,111119995,Union Station,1,   A  6,998010
A,FR,111119996,Union Station,1,   A  5,998010
A,FR,111119997,Union Station,1,   A  3,998010
A,FR,111119998,Union Station,1,   A  2,998010
A,FR,111119999,Union Station,1,   A  1,998010
A,FR,111120000,Union Station,1,   A  4,998010
A,FR,111120001,Union Station,1,   A  7,998010
A,FR,111120002,Union Station,1,   A  6,998010
A,FR,111120003,Union Station,1,   A  5,998010
A,FR,111120004,Union Station,1,   A  3,998010
A,FR,111120005,Union Station,1,   A  2,998010
A,FR,111120006,Union Station,1,   A  1,998010
A,FR,111120007,Union Station,1,   A  4,998010
A,FR,111120008,Union Station,1,   A  7,998010
A,FR,111120009,Union Station,1,   A  6,998010
A,FR,111120010,Union Station,1,   A  5,998010
A,FR,111120011,Union Station,1,   A  3,998010
A,FR,111120012,Union Station,1,   A  2,998010
A,FR,111120013,Union Station,1,   A  1,998010
A,FR,111120014,Union Station,1,   A  4,998010
A,FR,111120015,Union Station,1,   A  3,998010
A,FR,111120016,Union Station,1,   A  2,998010
A,FR,111120017,Union Station,1,   A  1,998010
A,FR,111120018,Union Station,1,   A  4,998010
A,FR,111120019,Union Station,1,   A  7,998010
A,FR,111120020,Union Station,1,   A  6,998010
A,FR,111120021,Union Station,1,   A  5,998010
A,FR,111120022,Union Station,1,   A  3,998010
A,FR,111120023,Union Station,1,   A  2,998010
A,FR,111120024,Union Station,1,   A  1,998010
A,FR,111120025,Union Station,1,   A  4,998010
A,FR,111120026,Union Station,1,   A  7,998010
A,FR,111120027,Union Station,1,   A  6,998010
A,FR,111120028,Union Station,1,   A  5,998010
A,FR,111120029,Union Station,1,   A  3,998010
A,FR,111120030,Union Station,1,   A  2,998010
A,FR,111120031,Union Station,1,   A  1,998010
A,FR,111120032,Union Station,1,   A  4,998010
A,FR,111120033,Union Station,1,   A  7,998010
A,FR,111120034,Union Station,1,   A  6,998010
A,FR,111120035,Union Station,1,   A  5,998010
A,FR,111120036,Union Station,1,   A  3,998010
A,FR,111120037,Union Station,1,   A  2,998010
A,FR,111120038,Union Station,1,   A  1,998010
A,FR,111120039,Union Station,1,   A  4,998010
A,FR,111120040,Union Station,1,   A  7,998010
A,FR,111120041,Union Station,1,   A  6,998010
A,FR,111120042,Union Station,1,   A  5,998010
A,FR,111120043,Union Station,1,   A  3,998010
A,FR,111120044,Union Station,1,   A  2,998010
A,FR,111120045,Union Station,1,   A  1,998010
A,MT,111120053,Denver Airport,0,   A  4,998007
A,MT,111120054,Denver Airport,0,   A  3,998007
A,MT,111120055,Denver Airport,0,   A  2,998007
A,MT,111120056,Denver Airport,0,   A  1,998007
A,MT,111120057,Denver Airport,0,   A  4,998007
A,MT,111120058,Denver Airport,0,   A  3,998007
A,MT,111120059,Denver Airport,0,   A  2,998007
A,MT,111120060,Denver Airport,0,   A  1,998007
A,MT,111120061,Denver Airport,0,   A  4,998007
A,MT,111120062,Denver Airport,0,   A  3,998007
A,MT,111120063,Denver Airport,0,   A  2,998007
A,MT,111120064,Denver Airport,0,   A  1,998007
A,MT,111120065,Denver Airport,0,   A  4,998007
A,MT,111120066,Denver Airport,0,   A  7,998007
A,MT,111120067,Denver Airport,0,   A  6,998007
A,MT,111120068,Denver Airport,0,   A  5,998007
A,MT,111120069,Denver Airport,0,   A  3,998007
A,MT,111120070,Denver Airport,0,   A  2,998007
A,MT,111120071,Denver Airport,0,   A  1,998007
A,MT,111120072,Denver Airport,0,   A  4,998007
A,MT,111120073,Denver Airport,0,   A  7,998007
A,MT,111120074,Denver Airport,0,   A  6,998007
A,MT,111120075,Denver Airport,0,   A  5,998007
A,MT,111120076,Denver Airport,0,   A  3,998007
A,MT,111120077,Denver Airport,0,   A  2,998007
A,MT,111120078,Denver Airport,0,   A  1,998007
A,MT,111120079,Denver Airport,0,   A  3,998007
A,MT,111120080,Denver Airport,0,   A  4,998007
A,MT,111120081,Denver Airport,0,   A  7,998007
A,MT,111120082,Denver Airport,0,   A  6,998007
A,MT,111120083,Denver Airport,0,   A  5,998007
A,MT,111120084,Denver Airport,0,   A  3,998007
A,MT,111120085,Denver Airport,0,   A  2,998007
A,MT,111120086,Denver Airport,0,   A  1,998007
A,MT,111120087,Denver Airport,0,   A  4,998007
A,MT,111120088,Denver Airport,0,   A  7,998007
A,MT,111120089,Denver Airport,0,   A  6,998007
A,MT,111120090,Denver Airport,0,   A  5,998007
A,MT,111120091,Denver Airport,0,   A  3,998007
A,MT,111120092,Denver Airport,0,   A  2,998007
A,MT,111120093,Denver Airport,0,   A  1,998007
A,MT,111120094,Denver Airport,0,   A  4,998007
